Loss Threshold ($ billions),Probability of Exceeding
42.92341831473437,0.9999
47.52386056906184,0.9995
52.124302823389314,0.9985
56.72474507771679,0.9958
61.32518733204426,0.9911
65.92562958637173,0.9827
70.5260718406992,0.9695
75.12651409502666,0.9499
79.72695634935414,0.9243
84.32739860368162,0.8878
88.92784085800909,0.8504
93.52828311233657,0.8066
98.12872536666404,0.758
102.72916762099152,0.7083
107.32960987531897,0.6602
111.93005212964644,0.6148
116.53049438397392,0.573
121.13093663830139,0.537
125.73137889262887,0.4996
130.33182114695634,0.4631
134.93226340128382,0.4337
139.5327056556113,0.4077
144.13314790993874,0.379
148.73359016426622,0.3544
153.3340324185937,0.3298
157.93447467292117,0.3025
162.53491692724864,0.2837
167.13535918157612,0.2627
171.73580143590357,0.2415
176.33624369023104,0.2195
180.93668594455852,0.2
185.537128198886,0.1833
190.13757045321347,0.167
194.73801270754095,0.151
199.33845496186842,0.1381
203.9388972161959,0.1231
208.53933947052337,0.1108
213.13978172485082,0.0984
217.7402239791783,0.0874
222.34066623350577,0.0783
226.94110848783325,0.0716
231.54155074216072,0.0643
236.1419929964882,0.0593
240.74243525081567,0.054
245.34287750514312,0.049
249.9433197594706,0.0438
254.54376201379807,0.0392
259.1442042681256,0.035
263.744646522453,0.0317
268.3450887767805,0.0297
272.945531031108,0.0262
277.5459732854355,0.024
282.1464155397629,0.0217
286.7468577940904,0.0193
291.3473000484179,0.0174
295.9477423027453,0.0151
300.5481845570728,0.0131
305.1486268114003,0.0112
309.7490690657277,0.0099
314.3495113200552,0.0093
318.9499535743827,0.008
323.5503958287102,0.0067
328.1508380830376,0.006
332.75128033736513,0.0051
337.3517225916926,0.0046
341.95216484602,0.0041
346.55260710034753,0.0037
351.153049354675,0.0029
355.7534916090025,0.0027
360.3539338633299,0.0022
364.95437611765743,0.002
369.5548183719849,0.0017
374.1552606263124,0.0015
378.75570288063983,0.0013
383.3561451349673,0.0011
387.9565873892948,0.001
392.55702964362223,0.0008
397.15747189794973,0.0008
401.7579141522772,0.0007
406.3583564066047,0.0005
410.95879866093213,0.0005
415.5592409152596,0.0003
420.1596831695871,0.0003
424.76012542391453,0.0003
429.36056767824203,0.0003
433.9610099325695,0.0003
438.561452186897,0.0003
443.16189444122443,0.0003
447.7623366955519,0.0003
452.3627789498794,0.0001
456.96322120420683,0.0001
461.56366345853434,0.0001
466.1641057128618,0.0001
470.7645479671893,0.0001
475.36499022151673,0.0001
479.96543247584424,0.0001
484.5658747301717,0.0001
489.16631698449913,0.0001
493.76675923882664,0.0001
498.3672014931541,0.0
